invoice_id,counterparty_canonical,expected_amount,expected_date,payment_method,status
INV-42-000046,PharmEasy Health Solutions,2718.83,2025-10-11,UPI,paid
INV-42-000047,Deepika Textiles Pvt Ltd,2718.83,2025-10-10,NEFT,paid
INV-42-000048,Anand Freelance Studio,9315.38,2025-01-10,UPI,paid
INV-42-000049,Priya Menon Consulting,5160.25,2026-03-17,UPI,paid
INV-42-000050,Lenskart Solutions Pvt Ltd,17671.94,2025-09-13,NEFT,paid
INV-42-000051,Urban Company,4987.35,2025-07-01,card,paid
INV-42-000052,Anand Freelance Studio,15589.95,2025-04-21,UPI,paid
INV-42-000053,Nykaa E-Retail Pvt Ltd,2222.9,2025-08-22,UPI,paid
INV-42-000054,BigBasket Supermarket Pvt Ltd,5612.03,2025-10-13,UPI,paid
INV-42-000055,Rahul Sharma,17913.47,2025-01-29,UPI,paid
INV-42-000056,Deepika Textiles Pvt Ltd,6596.9,2026-07-06,NEFT,paid
INV-42-000057,Anand Freelance Studio,3559.87,2025-12-05,NEFT,paid
INV-42-000058,Swiggy Bundl Technologies,28372.51,2026-02-23,UPI,paid
INV-42-000059,Urban Company,1958.68,2026-01-24,NEFT,paid
INV-42-000060,Meesho Inc,4105.83,2025-01-01,UPI,paid
INV-42-000061,BigBasket Supermarket Pvt Ltd,4105.83,2025-01-01,NEFT,paid
INV-42-000062,Nykaa E-Retail Pvt Ltd,7233.11,2026-04-30,RTGS,paid
INV-42-000063,Anand Freelance Studio,11412.24,2025-12-10,UPI,unpaid
INV-42-000064,Razorpay Software Pvt Ltd,1784.35,2025-05-31,UPI,paid
INV-42-000065,Nykaa E-Retail Pvt Ltd,5671.43,2025-07-19,NEFT,paid
INV-42-000066,BigBasket Supermarket Pvt Ltd,1419.51,2025-04-20,RTGS,paid
INV-42-000067,Ola Fleet Technologies,14255.72,2026-07-25,UPI,paid
INV-42-000068,BigBasket Supermarket Pvt Ltd,32858.49,2026-07-27,NEFT,paid
INV-42-000069,Lenskart Solutions Pvt Ltd,15056.73,2026-06-01,UPI,unpaid
INV-42-000070,BigBasket Supermarket Pvt Ltd,5939.79,2025-10-11,RTGS,paid
INV-42-000071,Nykaa E-Retail Pvt Ltd,5939.79,2025-10-12,UPI,paid
INV-42-000072,Priya Menon Consulting,4371.1,2026-07-08,UPI,paid
INV-42-000073,Infosys BPM Ltd,4097.08,2026-03-01,UPI,paid
INV-42-000074,BigBasket Supermarket Pvt Ltd,3712.25,2026-08-22,card,paid
INV-42-000075,PharmEasy Health Solutions,10131.86,2025-12-27,UPI,paid
INV-42-000076,Lenskart Solutions Pvt Ltd,24897.43,2026-07-14,RTGS,paid
INV-42-000077,Nykaa E-Retail Pvt Ltd,4098.63,2026-02-03,UPI,paid
INV-42-000078,Ola Fleet Technologies,4098.63,2026-02-05,NEFT,paid
INV-42-000079,Lenskart Solutions Pvt Ltd,37779.31,2025-01-28,UPI,paid
INV-42-000080,PharmEasy Health Solutions,4170.55,2025-12-02,UPI,paid
INV-42-000081,Deepika Textiles Pvt Ltd,3817.86,2026-03-08,UPI,paid
INV-42-000082,Zomato Ltd,4179.09,2025-02-11,RTGS,paid
INV-42-000083,Freshworks Inc,1413.83,2026-08-01,card,paid
INV-42-000084,Razorpay Software Pvt Ltd,4848.27,2025-04-28,RTGS,paid
INV-42-000085,Tata Consultancy Services,44728.82,2026-08-13,NEFT,paid
INV-42-000086,BigBasket Supermarket Pvt Ltd,11606.05,2025-09-06,UPI,unpaid
INV-42-000087,PharmEasy Health Solutions,9666.15,2026-08-03,RTGS,paid
INV-42-000088,BigBasket Supermarket Pvt Ltd,5407.31,2025-12-16,UPI,paid
INV-42-000089,Nykaa E-Retail Pvt Ltd,6898.63,2026-04-16,NEFT,paid
INV-42-000090,Anand Freelance Studio,21689.94,2026-07-06,RTGS,paid
INV-42-000091,Ola Fleet Technologies,10003.42,2025-09-09,RTGS,paid
INV-42-000092,PharmEasy Health Solutions,3870.77,2026-01-24,UPI,paid
INV-42-000093,Tata Consultancy Services,7865.22,2025-09-22,UPI,paid
INV-42-000094,Priya Menon Consulting,15746.95,2025-09-04,NEFT,paid
INV-42-000095,Nykaa E-Retail Pvt Ltd,13342.18,2025-08-15,UPI,paid
INV-42-000096,Rahul Sharma,5151.83,2025-12-19,UPI,paid
INV-42-000097,Tata Consultancy Services,12451.35,2025-09-15,UPI,paid
INV-42-000098,Tata Consultancy Services,11651.26,2026-05-11,UPI,paid
INV-42-000099,Deepika Textiles Pvt Ltd,16810.49,2026-01-05,UPI,paid
INV-42-000100,Urban Company,10638.9,2025-05-10,NEFT,paid
INV-42-000101,Swiggy Bundl Technologies,7709.06,2025-02-22,UPI,paid
INV-42-000102,Swiggy Bundl Technologies,2163.75,2026-08-14,NEFT,paid
INV-42-000103,Swiggy Bundl Technologies,9314.87,2025-09-12,UPI,paid
INV-42-000104,Meesho Inc,14468.59,2026-06-20,UPI,paid
INV-42-000105,Tata Consultancy Services,10293.82,2026-08-06,NEFT,paid
INV-42-000106,Sundaram Logistics Pvt Ltd,10293.82,2026-08-07,UPI,paid
INV-42-000107,Cred Avenue Pvt Ltd,5456.22,2025-09-03,UPI,paid
INV-42-000108,Zomato Ltd,6713.38,2025-10-26,UPI,paid
INV-42-000109,Tata Consultancy Services,4630.21,2025-07-22,UPI,paid
INV-42-000110,Cred Avenue Pvt Ltd,2481.86,2026-08-06,card,paid
INV-42-000111,Nykaa E-Retail Pvt Ltd,4884.16,2025-10-06,UPI,paid
INV-42-000112,Zomato Ltd,2319.61,2025-11-27,NEFT,paid
INV-42-000113,Razorpay Software Pvt Ltd,55790.22,2025-01-22,card,paid
INV-42-000114,Tata Consultancy Services,7110.34,2025-10-12,UPI,paid
INV-42-000115,Cred Avenue Pvt Ltd,7989.97,2025-12-23,UPI,paid
INV-42-000116,Swiggy Bundl Technologies,3327.34,2026-05-23,UPI,paid
INV-42-000117,Ola Fleet Technologies,9338.28,2025-11-19,UPI,paid
INV-42-000118,Deepika Textiles Pvt Ltd,7615.4,2026-06-15,UPI,paid
INV-42-000119,Cred Avenue Pvt Ltd,13413.48,2026-07-17,UPI,paid
INV-42-000120,PharmEasy Health Solutions,7908.5,2025-09-03,NEFT,paid
INV-42-000121,Zomato Ltd,6746.42,2025-04-27,UPI,paid
INV-42-000122,Ola Fleet Technologies,8031.68,2026-06-06,NEFT,paid
INV-42-000123,Nykaa E-Retail Pvt Ltd,7487.88,2025-05-29,UPI,paid
INV-42-000124,Urban Company,1563.78,2026-03-01,UPI,paid
INV-42-000125,Razorpay Software Pvt Ltd,28011.75,2026-05-17,card,paid
INV-42-000126,Nykaa E-Retail Pvt Ltd,2721.64,2026-01-22,UPI,paid
INV-42-000127,Freshworks Inc,16516.63,2025-08-28,card,paid
INV-42-000128,Tata Consultancy Services,5004.19,2026-01-26,UPI,paid
INV-42-000129,Ola Fleet Technologies,35277.45,2025-02-07,UPI,paid
INV-42-000130,Tata Consultancy Services,3093.34,2026-02-12,NEFT,unpaid
INV-42-000131,PharmEasy Health Solutions,19828.53,2025-11-21,NEFT,paid
INV-42-000132,Nykaa E-Retail Pvt Ltd,9561.93,2025-08-29,NEFT,paid
INV-42-000133,Sundaram Logistics Pvt Ltd,9561.93,2025-08-28,NEFT,paid
INV-42-000134,Swiggy Bundl Technologies,40971.86,2026-03-31,UPI,paid
INV-42-000135,Zomato Ltd,6079.74,2026-01-03,UPI,paid
INV-42-000136,Urban Company,13234.82,2025-06-24,UPI,paid
INV-42-000137,Infosys BPM Ltd,14226.82,2026-08-21,UPI,paid
INV-42-000138,Razorpay Software Pvt Ltd,11222.5,2026-03-29,card,paid
INV-42-000139,Tata Consultancy Services,7365.07,2026-01-29,card,unpaid
INV-42-000140,Infosys BPM Ltd,5947.54,2025-10-30,UPI,paid
INV-42-000141,BigBasket Supermarket Pvt Ltd,14086.76,2025-12-27,UPI,paid
INV-42-000142,Razorpay Software Pvt Ltd,44223.54,2025-05-21,NEFT,paid
INV-42-000143,Cred Avenue Pvt Ltd,4781.14,2026-08-17,UPI,paid
INV-42-000144,Swiggy Bundl Technologies,4781.14,2026-08-15,UPI,paid
INV-42-000145,Freshworks Inc,2361.24,2026-01-10,UPI,paid
INV-42-000146,Ola Fleet Technologies,953.0,2026-05-09,card,paid
INV-42-000147,Deepika Textiles Pvt Ltd,953.0,2026-05-08,UPI,paid
INV-42-000148,Sundaram Logistics Pvt Ltd,60855.05,2026-02-11,card,paid
INV-42-000149,Infosys BPM Ltd,8987.3,2025-09-26,NEFT,paid
INV-42-000150,Vikram Enterprises,3680.31,2025-01-26,NEFT,paid
INV-42-000151,Tata Consultancy Services,13126.34,2026-04-21,card,paid
INV-42-000152,BigBasket Supermarket Pvt Ltd,4467.88,2025-04-10,UPI,paid
INV-42-000153,Infosys BPM Ltd,15674.15,2025-06-08,card,paid
INV-42-000154,Ola Fleet Technologies,151725.69,2025-10-14,UPI,paid
INV-42-000155,BigBasket Supermarket Pvt Ltd,179596.22,2026-01-03,UPI,paid
INV-42-000156,Sundaram Logistics Pvt Ltd,3640.35,2025-01-22,UPI,paid
INV-42-000157,Sundaram Logistics Pvt Ltd,14150.23,2026-07-22,UPI,paid
INV-42-000158,PharmEasy Health Solutions,5940.1,2025-01-03,UPI,paid
INV-42-000159,Zomato Ltd,14581.64,2025-11-28,UPI,paid
INV-42-000160,Swiggy Bundl Technologies,7060.83,2025-03-07,UPI,paid
INV-42-000161,Urban Company,2400.51,2025-02-14,NEFT,paid
INV-42-000162,Cred Avenue Pvt Ltd,3433.24,2025-02-01,UPI,paid
INV-42-000163,PharmEasy Health Solutions,3433.24,2025-02-01,UPI,paid
INV-42-000164,Priya Menon Consulting,3411.68,2025-11-26,NEFT,paid
INV-42-000165,Tata Consultancy Services,12771.0,2025-11-29,UPI,paid
INV-42-000166,Tata Consultancy Services,8225.89,2025-04-28,card,paid
INV-42-000167,Deepika Textiles Pvt Ltd,12511.09,2026-04-08,card,paid
INV-42-000168,Ola Fleet Technologies,4544.74,2025-11-17,UPI,paid
INV-42-000169,Infosys BPM Ltd,57454.01,2026-07-24,UPI,paid
INV-42-000170,Urban Company,12651.35,2026-03-10,card,unpaid
INV-42-000171,Sundaram Logistics Pvt Ltd,10291.92,2026-08-15,UPI,paid
INV-42-000172,Nykaa E-Retail Pvt Ltd,18491.06,2026-07-24,UPI,paid
INV-42-000173,Meesho Inc,13237.05,2025-01-27,NEFT,paid
INV-42-000174,Priya Menon Consulting,2978.68,2025-11-13,card,paid
INV-42-000175,Freshworks Inc,1623.8,2025-03-13,UPI,paid
INV-42-000176,Zomato Ltd,13149.59,2026-03-06,UPI,paid
INV-42-000177,Tata Consultancy Services,28955.89,2025-06-09,UPI,paid
INV-42-000178,Rahul Sharma,2861.67,2026-05-13,NEFT,paid
INV-42-000179,Freshworks Inc,8342.44,2025-04-24,UPI,paid
INV-42-000180,Nykaa E-Retail Pvt Ltd,10618.21,2026-02-09,card,paid
INV-42-000181,Freshworks Inc,14385.85,2025-05-03,UPI,paid
INV-42-000182,Freshworks Inc,4340.91,2026-05-28,NEFT,paid
INV-42-000183,Infosys BPM Ltd,4376.19,2026-03-23,UPI,paid
INV-42-000184,PharmEasy Health Solutions,10659.34,2026-03-04,UPI,paid
INV-42-000185,Sundaram Logistics Pvt Ltd,6644.27,2026-01-06,UPI,paid
INV-42-000186,Razorpay Software Pvt Ltd,10810.19,2026-02-10,card,paid
INV-42-000187,Freshworks Inc,12920.74,2025-04-27,UPI,paid
INV-42-000188,Deepika Textiles Pvt Ltd,10545.69,2025-04-16,UPI,paid
INV-42-000189,Meesho Inc,26010.6,2025-07-01,card,paid
INV-42-000190,BigBasket Supermarket Pvt Ltd,10239.45,2026-08-02,NEFT,paid
INV-42-000191,Tata Consultancy Services,23466.54,2026-03-27,UPI,unpaid
INV-42-000192,Tata Consultancy Services,5604.9,2026-06-04,UPI,paid
INV-42-000193,Zomato Ltd,6098.06,2025-04-03,NEFT,paid
INV-42-000194,BigBasket Supermarket Pvt Ltd,12122.7,2025-02-12,UPI,paid
INV-42-000195,Cred Avenue Pvt Ltd,4791.02,2025-06-04,card,paid
INV-42-000196,Ola Fleet Technologies,1321.33,2025-02-10,UPI,paid
INV-42-000197,BigBasket Supermarket Pvt Ltd,8448.55,2026-01-17,card,paid
INV-42-000198,Deepika Textiles Pvt Ltd,10845.19,2025-12-09,UPI,paid
INV-42-000199,Rahul Sharma,2425.17,2025-06-03,UPI,paid
INV-42-000200,Swiggy Bundl Technologies,13413.16,2025-03-28,UPI,paid
INV-42-000201,Ola Fleet Technologies,35095.16,2026-06-24,UPI,paid
INV-42-000202,Urban Company,2762.08,2025-08-08,UPI,paid
INV-42-000203,Freshworks Inc,1829.74,2026-06-04,RTGS,paid
INV-42-000204,PharmEasy Health Solutions,2762.53,2025-05-15,NEFT,paid
INV-42-000205,Freshworks Inc,17915.97,2025-06-19,NEFT,paid
INV-42-000206,Infosys BPM Ltd,16149.14,2026-04-05,UPI,paid
INV-42-000207,Sundaram Logistics Pvt Ltd,1865.76,2026-08-08,card,paid
INV-42-000208,Tata Consultancy Services,5508.41,2025-06-15,RTGS,paid
INV-42-000209,Swiggy Bundl Technologies,2763.59,2026-01-16,NEFT,paid
INV-42-000210,PharmEasy Health Solutions,17298.53,2025-06-14,UPI,paid
INV-42-000211,Swiggy Bundl Technologies,1337.32,2025-08-16,RTGS,paid
INV-42-000212,Vikram Enterprises,1337.32,2025-08-15,UPI,paid
INV-42-000213,Infosys BPM Ltd,6691.72,2025-08-18,UPI,paid
INV-42-000214,Ola Fleet Technologies,24583.9,2025-05-21,UPI,paid
INV-42-000215,Nykaa E-Retail Pvt Ltd,67499.39,2026-04-26,UPI,paid
INV-42-000216,Lenskart Solutions Pvt Ltd,67499.39,2026-04-23,UPI,paid
INV-42-000217,Swiggy Bundl Technologies,46065.74,2026-03-10,UPI,paid
INV-42-000218,Tata Consultancy Services,2431.98,2026-04-14,UPI,paid
INV-42-000219,Nykaa E-Retail Pvt Ltd,9426.2,2026-08-12,UPI,paid
INV-42-000220,BigBasket Supermarket Pvt Ltd,10233.42,2026-03-03,UPI,paid
INV-42-000221,Urban Company,11144.02,2026-06-04,NEFT,paid
INV-42-000222,Nykaa E-Retail Pvt Ltd,15992.87,2025-04-17,RTGS,paid
INV-42-000223,Tata Consultancy Services,1720.41,2025-06-29,RTGS,paid
INV-42-000224,Sundaram Logistics Pvt Ltd,7781.18,2025-05-19,UPI,paid
INV-42-000225,BigBasket Supermarket Pvt Ltd,5804.97,2025-07-24,card,paid
INV-42-000226,Tata Consultancy Services,3458.98,2026-04-30,UPI,paid
INV-42-000227,Freshworks Inc,2958.33,2025-12-06,UPI,paid
INV-42-000228,BigBasket Supermarket Pvt Ltd,6151.68,2026-01-31,UPI,paid
INV-42-000229,Priya Menon Consulting,2950.18,2025-10-01,RTGS,paid
INV-42-000230,Zomato Ltd,19739.73,2026-07-13,UPI,paid
INV-42-000231,Tata Consultancy Services,4584.99,2026-03-13,UPI,paid
INV-42-000232,BigBasket Supermarket Pvt Ltd,11090.25,2025-02-28,UPI,paid
INV-42-000233,Infosys BPM Ltd,34547.61,2025-02-01,UPI,paid
INV-42-000234,Deepika Textiles Pvt Ltd,15972.4,2026-01-28,card,paid
INV-42-000235,Swiggy Bundl Technologies,7165.87,2026-03-31,RTGS,paid
INV-42-000236,Urban Company,5170.66,2025-09-13,card,paid
INV-42-000237,Freshworks Inc,11124.43,2025-05-01,UPI,paid
INV-42-000238,BigBasket Supermarket Pvt Ltd,28676.21,2025-05-06,UPI,paid
INV-42-000239,Freshworks Inc,16629.62,2025-10-25,card,paid
INV-42-000240,Priya Menon Consulting,20395.8,2025-05-05,card,paid
INV-42-000241,Razorpay Software Pvt Ltd,7986.9,2026-08-10,UPI,paid
INV-42-000242,Urban Company,9790.36,2025-11-13,UPI,paid
INV-42-000243,Nykaa E-Retail Pvt Ltd,6417.49,2026-08-12,UPI,paid
INV-42-000244,Urban Company,14525.66,2025-05-13,UPI,paid
INV-42-000245,Zomato Ltd,4084.2,2025-06-18,UPI,paid
INV-42-000246,Razorpay Software Pvt Ltd,4084.2,2025-06-20,card,paid
INV-42-000247,Tata Consultancy Services,3608.16,2026-07-19,UPI,paid
INV-42-000248,Meesho Inc,1410.21,2026-08-18,UPI,paid
INV-42-000249,Anand Freelance Studio,22717.13,2026-08-01,UPI,paid
INV-42-000250,Zomato Ltd,5113.16,2026-08-09,UPI,paid
INV-42-000251,Nykaa E-Retail Pvt Ltd,10682.95,2025-11-06,UPI,paid
INV-42-000252,Rahul Sharma,5782.69,2025-03-03,UPI,paid
INV-42-000253,BigBasket Supermarket Pvt Ltd,6074.56,2025-11-23,NEFT,paid
INV-42-000254,Sundaram Logistics Pvt Ltd,3275.82,2026-07-30,UPI,paid
INV-42-000255,Swiggy Bundl Technologies,7401.34,2025-02-21,UPI,paid
INV-42-000256,Meesho Inc,3710.0,2026-08-15,NEFT,paid
INV-42-000257,Swiggy Bundl Technologies,25963.38,2025-04-03,card,paid
INV-42-000258,Sundaram Logistics Pvt Ltd,4106.57,2025-02-21,UPI,paid
INV-42-000259,Ola Fleet Technologies,11765.56,2025-01-09,RTGS,paid
INV-42-000260,PharmEasy Health Solutions,35864.95,2026-01-10,UPI,paid
INV-42-000261,Urban Company,6012.71,2026-01-31,UPI,paid
INV-42-000262,Tata Consultancy Services,3645.79,2025-12-14,NEFT,paid
INV-42-000263,Swiggy Bundl Technologies,10554.19,2025-02-11,UPI,paid
INV-42-000264,Tata Consultancy Services,7520.18,2026-06-12,UPI,paid
INV-42-000265,Tata Consultancy Services,5266.04,2025-11-03,NEFT,paid
INV-42-000266,Urban Company,7817.6,2026-05-02,RTGS,paid
INV-42-000267,Rahul Sharma,42962.5,2025-01-28,NEFT,paid
INV-42-000268,Cred Avenue Pvt Ltd,7604.93,2026-01-25,UPI,paid
INV-42-000269,Zomato Ltd,2745.62,2025-06-05,UPI,paid
INV-42-000270,Nykaa E-Retail Pvt Ltd,11223.22,2025-03-05,NEFT,paid
INV-42-000271,Urban Company,7091.17,2026-07-14,UPI,paid
INV-42-000272,Anand Freelance Studio,16671.76,2026-05-11,UPI,paid
INV-42-000273,Urban Company,5221.33,2025-08-01,NEFT,paid
INV-42-000274,Nykaa E-Retail Pvt Ltd,33708.45,2025-10-08,UPI,paid
INV-42-000275,Urban Company,22230.28,2025-12-20,card,paid
INV-42-000276,Tata Consultancy Services,2573.32,2025-12-21,card,paid
INV-42-000277,Deepika Textiles Pvt Ltd,3616.26,2025-10-06,UPI,paid
INV-42-000278,Meesho Inc,2429.99,2026-06-28,UPI,paid
INV-42-000279,Swiggy Bundl Technologies,4931.34,2025-05-21,UPI,paid
INV-42-000280,Lenskart Solutions Pvt Ltd,886.82,2026-05-03,UPI,paid
INV-42-000281,Sundaram Logistics Pvt Ltd,3715.42,2025-04-02,NEFT,paid
INV-42-000282,Anand Freelance Studio,24782.42,2025-06-30,card,paid
INV-42-000283,Ola Fleet Technologies,13994.31,2025-10-24,card,paid
INV-42-000284,Meesho Inc,9247.43,2025-05-18,card,paid
INV-42-000285,Freshworks Inc,3967.53,2026-04-15,NEFT,paid
INV-42-000286,Zomato Ltd,5671.78,2025-07-17,UPI,paid
INV-42-000287,Lenskart Solutions Pvt Ltd,22961.17,2025-03-30,UPI,paid
INV-42-000288,Sundaram Logistics Pvt Ltd,4710.59,2025-01-07,UPI,paid
INV-42-000289,Deepika Textiles Pvt Ltd,22120.2,2026-08-10,UPI,paid
INV-42-000290,Priya Menon Consulting,4906.56,2026-05-30,card,paid
INV-42-000291,Deepika Textiles Pvt Ltd,18273.55,2025-10-30,UPI,paid
INV-42-000292,Freshworks Inc,18273.55,2025-10-28,UPI,paid
INV-42-000293,Deepika Textiles Pvt Ltd,10715.84,2026-07-17,card,paid
INV-42-000294,Ola Fleet Technologies,66905.68,2025-03-25,UPI,paid
INV-42-000295,Infosys BPM Ltd,3003.41,2025-06-18,UPI,paid
INV-42-000296,Swiggy Bundl Technologies,2721.23,2025-04-04,card,paid
INV-42-000297,Zomato Ltd,3065.28,2026-08-01,UPI,paid
INV-42-000298,Ola Fleet Technologies,14338.61,2025-01-04,NEFT,paid
INV-42-000299,Zomato Ltd,6270.49,2025-03-03,card,paid
INV-42-000300,Vikram Enterprises,2384.97,2025-05-19,RTGS,paid
INV-42-000301,Cred Avenue Pvt Ltd,9654.08,2025-12-23,UPI,paid
INV-42-000302,Infosys BPM Ltd,67523.57,2025-11-02,UPI,unpaid
INV-42-000303,BigBasket Supermarket Pvt Ltd,6361.6,2026-04-17,UPI,paid
INV-42-000304,Vikram Enterprises,11987.55,2026-03-06,NEFT,paid
INV-42-000305,Lenskart Solutions Pvt Ltd,5274.86,2025-02-04,UPI,paid
INV-42-000306,PharmEasy Health Solutions,6602.72,2025-02-27,UPI,paid
INV-42-000307,Razorpay Software Pvt Ltd,36926.47,2026-08-15,NEFT,unpaid
INV-42-000308,Tata Consultancy Services,5668.89,2026-06-18,UPI,paid
INV-42-000309,Zomato Ltd,44314.83,2026-03-14,NEFT,paid
INV-42-000310,Infosys BPM Ltd,11586.12,2026-06-22,UPI,paid
INV-42-000311,Swiggy Bundl Technologies,3726.82,2026-04-30,UPI,paid
INV-42-000312,PharmEasy Health Solutions,2914.34,2025-03-01,NEFT,paid
INV-42-000313,Urban Company,3842.34,2025-07-28,UPI,paid
INV-42-000314,BigBasket Supermarket Pvt Ltd,5278.21,2025-07-15,UPI,paid
INV-42-000315,Meesho Inc,25349.88,2026-07-27,UPI,paid
INV-42-000316,Lenskart Solutions Pvt Ltd,4678.11,2025-05-01,NEFT,paid
INV-42-000317,Lenskart Solutions Pvt Ltd,22462.79,2026-02-11,card,paid
INV-42-000318,Deepika Textiles Pvt Ltd,5458.33,2026-01-03,UPI,paid
INV-42-000319,PharmEasy Health Solutions,6209.32,2026-04-26,RTGS,paid
INV-42-000320,Freshworks Inc,5986.84,2025-08-15,NEFT,paid
INV-42-000321,Urban Company,12879.45,2025-10-30,UPI,paid
INV-42-000322,Infosys BPM Ltd,22651.27,2025-12-12,UPI,paid
INV-42-000323,Sundaram Logistics Pvt Ltd,12449.9,2025-06-22,NEFT,paid
INV-42-000324,Swiggy Bundl Technologies,8849.15,2026-07-10,card,paid
INV-42-000325,Urban Company,10061.95,2025-06-04,UPI,unpaid
INV-42-000326,Infosys BPM Ltd,13987.9,2026-05-10,NEFT,paid
INV-42-000327,Urban Company,7049.98,2025-10-09,UPI,paid
INV-42-000328,Nykaa E-Retail Pvt Ltd,13856.17,2025-07-03,UPI,paid
INV-42-000329,Swiggy Bundl Technologies,2967.74,2025-12-29,UPI,paid
INV-42-000330,Infosys BPM Ltd,5804.88,2025-08-20,UPI,paid
INV-42-000331,Zomato Ltd,2402.32,2026-01-22,NEFT,paid
INV-42-000332,Zomato Ltd,2938.15,2026-03-21,NEFT,paid
INV-42-000333,Sundaram Logistics Pvt Ltd,18773.72,2026-08-04,UPI,paid
INV-42-000334,Zomato Ltd,8967.78,2025-11-19,UPI,paid
INV-42-000335,Swiggy Bundl Technologies,20847.39,2026-08-01,UPI,paid
INV-42-000336,Infosys BPM Ltd,20254.56,2025-05-24,RTGS,paid
INV-42-000337,Zomato Ltd,14463.07,2025-04-11,UPI,paid
INV-42-000338,Infosys BPM Ltd,4006.56,2025-01-31,NEFT,paid
INV-42-000339,BigBasket Supermarket Pvt Ltd,3168.1,2026-01-20,UPI,paid
INV-42-000340,Cred Avenue Pvt Ltd,1514.36,2025-09-10,NEFT,paid
INV-42-000341,Swiggy Bundl Technologies,19785.82,2026-02-03,UPI,paid
INV-42-000342,Zomato Ltd,5102.63,2025-10-04,UPI,paid
INV-42-000343,BigBasket Supermarket Pvt Ltd,9705.59,2025-04-16,UPI,paid
INV-42-000344,Swiggy Bundl Technologies,10138.28,2026-01-30,UPI,paid
INV-42-000345,Deepika Textiles Pvt Ltd,17821.39,2025-09-06,NEFT,paid
INV-42-000346,Infosys BPM Ltd,3648.63,2026-05-20,UPI,paid
INV-42-000347,Tata Consultancy Services,1953.55,2026-01-05,UPI,paid
