bank_record_id,date,narration,amount,bank_name,utr_reference
BANK-42-000031,2025-10-19,UPI/CR/517024477703/Priya Menon Consulting/Yes Bank,26913.33,Yes Bank,
BANK-42-000032,2025-05-27,UPI-Deepika Textiles Pvt Ltd-103082885036@Kotak-CREDIT,37951.1,Kotak,
BANK-42-000033,2025-04-21,UPI/045487981588/Zomato Ltd/IDFC First/CREDIT,55004.13,IDFC First,
BANK-42-000034,2026-07-12,UPI-Vikram Enterprises-475689977142@ICICI-CREDIT,58274.04,ICICI,
BANK-42-000035,2026-06-13,UPI/CR/151971687284/Ola Fleet Technologies/HDFC,30610.35,HDFC,
BANK-42-000036,2025-01-25,NEFT/UTR680092459342/Urban Company/SBI,168049.91,SBI,UTR680092459342
BANK-42-000037,2026-07-03,UPI/820169196355/Freshworks Inc/IDFC First/CREDIT,119259.71,IDFC First,UTR673542314563
BANK-42-000038,2025-08-22,UPI/470777368576/PharmEasy Health Solutions/SBI/CREDIT,161781.16,SBI,UTR862532865065
BANK-42-000039,2025-05-22,NEFT CR:UTR250728444681/Meesho Inc,181589.26,Axis,UTR250728444681
BANK-42-000040,2025-04-30,UPI-Swiggy Bundl Technologies-164937530074@Yes Bank-CREDIT,500389.35,Yes Bank,UTR585427833030
BANK-42-000041,2026-02-07,UPI/822916534285/Nykaa E-Retail Pvt Ltd/Yes Bank/CREDIT,69341.28,Yes Bank,UTR715275153861
BANK-42-000042,2026-05-30,UPI/137523716883/Ola Fleet Technologies/Kotak/CREDIT,204160.04,Kotak,UTR904871150347
BANK-42-000043,2025-03-07,UPI-Sundaram Logistics Pvt Ltd-045905283125@ICICI-CREDIT,159628.4,ICICI,UTR276228516964
BANK-42-000044,2025-01-17,UPI-Ola Fleet Technologies-385672895480@SBI-CREDIT,314793.73,SBI,UTR983327564473
BANK-42-000045,2025-08-11,UPI/CR/033618732993/Infosys BPM Ltd/HDFC,227398.27,HDFC,UTR116815649835
BANK-42-000046,2025-10-23,UPI-Ola Fleet Technologies-968240799651@IDFC First-CREDIT,436028.21,IDFC First,UTR721770621957
BANK-42-000047,2026-06-08,UPI-Vikram Enterprises-812939150469@Axis-CREDIT,64942.23,Axis,UTR220393216142
BANK-42-000048,2025-04-25,UPI-Swiggy Bundl Technologies-937133581971@ICICI-CREDIT,69435.78,ICICI,UTR999369885263
BANK-42-000049,2025-10-26,UPI/627239327324/Cred Avenue Pvt Ltd/ICICI/CREDIT,284816.96,ICICI,UTR460811244957
BANK-42-000050,2025-06-09,UPI/CR/401331785021/Urban Company/SBI,143521.95,SBI,UTR685110954992
BANK-42-000051,2026-08-01,UPI/194426765733/Zomato Ltd/ICICI/CREDIT,228244.86,ICICI,UTR957778546744
BANK-42-000052,2025-09-15,UPI-Tata Consultancy Services-181154640956@IDFC First-CREDIT,492039.75,IDFC First,UTR285994734911
BANK-42-000053,2026-02-20,UPI-Razorpay Software Pvt Ltd-223272878288@Axis-CREDIT,403517.28,Axis,UTR383866183181
BANK-42-000054,2025-06-11,UPI/CR/286025015480/Deepika Textiles Pvt Ltd/Axis,451723.14,Axis,UTR870088839861
BANK-42-000055,2026-03-20,UPI/CR/558853151251/Zomato Ltd/Axis,326310.05,Axis,UTR673997939649
BANK-42-000056,2025-03-02,UPI-Cred Avenue Pvt Ltd-482328705836@Yes Bank-CREDIT,215662.71,Yes Bank,UTR233923691429
BANK-42-000057,2025-04-06,UPI/479539928162/Rahul Sharma/HDFC/CREDIT,305892.91,HDFC,UTR520345685574
BANK-42-000058,2025-12-21,UPI/CR/657615545529/Tata Consultancy Services/SBI,294196.59,SBI,UTR389609694696
BANK-42-000059,2025-07-21,UPI/459122972796/Ola Fleet Technologies/Kotak/CREDIT,123411.24,Kotak,UTR873502992714
BANK-42-000060,2025-10-13,UPI-Urban Company-883735978014@Kotak-CREDIT,217490.01,Kotak,UTR582628533738
BANK-42-000061,2025-07-07,UPI/CR/256940035299/Zomato Ltd/IDFC First,393028.81,IDFC First,UTR768034115681
BANK-42-000062,2026-08-19,UPI/CR/535076257810/Cred Avenue Pvt Ltd/IDFC First,525996.59,IDFC First,UTR564741706611
BANK-42-000063,2026-08-15,UPI-Tata Consultancy Services-930876997611@HDFC-CREDIT,234244.98,HDFC,UTR641105062782
BANK-42-000064,2026-07-06,RTGS-UTR260269379999-BigBasket Supermarket Pvt Ltd-IDFC First,127924.72,IDFC First,UTR260269379999
BANK-42-000065,2026-08-15,UPI/712509589363/Infosys BPM Ltd/HDFC/CREDIT,516160.56,HDFC,UTR839277845153
BANK-42-000066,2026-08-18,UPI/587870382720/Swiggy Bundl Technologies/HDFC/CREDIT,185213.5,HDFC,UTR144781871287
BANK-42-000067,2026-08-23,UPI-Zomato Ltd-142374237003@IDFC First-CREDIT,191207.06,IDFC First,UTR325469416426
BANK-42-000068,2026-08-05,UPI/333553713296/BigBasket Supermarket Pvt Ltd/HDFC/CREDIT,323736.91,HDFC,UTR595174934751
BANK-42-000069,2026-05-09,UPI-BigBasket Supermarket Pvt Ltd-015964321082@ICICI-CREDIT,49959.91,ICICI,UTR616426799791
BANK-42-000070,2026-08-08,UPI-Urban Company-625894299065@Axis-CREDIT,331435.71,Axis,UTR783350097787
BANK-42-000071,2026-08-29,UPI-Swiggy Bundl Technologies-218822217232@Axis-CREDIT,368666.67,Axis,UTR387798339209
BANK-42-000072,2026-08-11,UPI-Freshworks Inc-468669951589@Axis-CREDIT,447315.33,Axis,UTR978643504522
BANK-42-000073,2026-08-24,UPI/CR/828374812164/Deepika Textiles Pvt Ltd/SBI,342907.7,SBI,UTR451633992351
BANK-42-000074,2026-08-24,UPI-Infosys BPM Ltd-770325504547@IDFC First-CREDIT,224218.35,IDFC First,UTR219352142601
BANK-42-000075,2026-07-18,UPI-Anand Freelance Studio-480766191889@SBI-CREDIT,217868.76,SBI,UTR332933412784
BANK-42-000076,2026-08-23,UPI/CR/990882006412/PharmEasy Health Solutions/IDFC First,126798.2,IDFC First,UTR482824351907
BANK-42-000077,2026-07-26,NEFT/UTR877632163267/PharmEasy Health Solutions/Yes Bank,112514.66,Yes Bank,UTR877632163267
BANK-42-000078,2026-08-30,UPI/CR/574798521042/Swiggy Bundl Technologies/Axis,443288.38,Axis,UTR403871740184
BANK-42-000079,2026-08-10,UPI-Cred Avenue Pvt Ltd-056035030054@ICICI-CREDIT,131503.97,ICICI,UTR387822890200
BANK-42-000080,2026-08-08,UPI/373870345034/Lenskart Solutions Pvt Ltd/HDFC/CREDIT,553385.95,HDFC,UTR955348949346
BANK-42-000081,2026-07-29,UPI-Meesho Inc-950724176102@ICICI-CREDIT,164469.92,ICICI,UTR641577249930
BANK-42-000082,2026-06-07,UPI-INFOSYS BPM-410839777911@Yes Bank-CREDIT,141974.13,Yes Bank,UTR661537958900
BANK-42-000083,2026-08-16,UPI/CR/872791160325/Ola Fleet Technologies/HDFC,74954.41,HDFC,UTR367603921364
BANK-42-000084,2026-08-09,UPI-Meesho Inc-387416216309@Kotak-CREDIT,107275.14,Kotak,UTR901717145223
BANK-42-000085,2026-06-20,UPI/091983510151/Nykaa E-Retail Pvt Ltd/Yes Bank/CREDIT,81084.81,Yes Bank,UTR613899475591
BANK-42-000086,2026-03-30,UPI-Urban Company-547265444896@IDFC First-CREDIT,51610.2,IDFC First,UTR202398865065
BANK-42-000087,2026-08-17,UPI-BigBasket Supermarket Pvt Ltd-407469910281@SBI-CREDIT,735236.14,SBI,UTR649797353176
BANK-42-000088,2026-08-17,UPI/797926711325/Freshworks Inc/Yes Bank/CREDIT,250979.06,Yes Bank,UTR542597891278
BANK-42-000089,2026-08-09,UPI/CR/294217001749/Cred Avenue Pvt Ltd/ICICI,434403.53,ICICI,UTR147032399841
BANK-42-000090,2026-08-10,UPI/CR/005377945605/Zomato Ltd/IDFC First,417915.97,IDFC First,UTR101412414932
BANK-42-000091,2026-04-25,UPI/CR/098376814975/Freshworks Inc/Axis,64149.09,Axis,UTR375398964138
BANK-42-000092,2026-07-20,UPI/635739998542/Razorpay Software Pvt Ltd/Yes Bank/CREDIT,129973.97,Yes Bank,UTR901342841896
BANK-42-000093,2026-08-23,UPI-Priya Menon Consulting-621089008365@Kotak-CREDIT,556635.89,Kotak,UTR995916112948
BANK-42-000094,2026-08-06,UPI/939128033240/Freshworks Inc/IDFC First/CREDIT,377004.56,IDFC First,UTR651171976652
BANK-42-000095,2026-07-06,UPI-Swiggy Bundl Technologies-578410018787@SBI-CREDIT,423894.24,SBI,UTR768188481128
BANK-42-000096,2026-08-23,UPI/249209303846/Rahul Sharma/ICICI/CREDIT,441539.8,ICICI,UTR657008803900
BANK-42-000097,2026-08-12,UPI-Swiggy Bundl Technologies-193400695171@Axis-CREDIT,352738.9,Axis,UTR801619462276
BANK-42-000098,2026-08-14,UPI/930681041040/Vikram Enterprises/IDFC First/CREDIT,365000.92,IDFC First,UTR177044274904
BANK-42-000099,2026-08-11,UPI/CR/077191794316/Freshworks Inc/Axis,214311.99,Axis,UTR672271333617
BANK-42-000100,2026-08-23,UPI/472889737931/Anand Freelance Studio/Axis/CREDIT,337165.99,Axis,UTR511094212608
BANK-42-000101,2026-08-03,UPI/CR/102377993823/Swiggy Bundl Technologies/IDFC First,179951.73,IDFC First,UTR429140579969
BANK-42-000102,2026-08-24,UPI/CR/977149395873/Swiggy Bundl Technologies/ICICI,315213.24,ICICI,UTR550968014633
BANK-42-000103,2026-08-23,UPI/CR/209884558724/Cred Avenue Pvt Ltd/IDFC First,79310.18,IDFC First,UTR541450360921
BANK-42-000104,2026-08-17,UPI-BigBasket Supermarket Pvt Ltd-049835991322@ICICI-CREDIT,272873.38,ICICI,UTR166907778365
BANK-42-000105,2026-08-11,UPI/CR/913686712703/Rahul Sharma/Kotak,36172.34,Kotak,UTR927807361063
BANK-42-000106,2026-08-24,UPI/CR/174155406226/BigBasket Supermarket Pvt Ltd/IDFC First,174933.27,IDFC First,UTR805590348107
BANK-42-000107,2026-08-14,UPI/CR/528594808891/Cred Avenue Pvt Ltd/Yes Bank,266437.73,Yes Bank,UTR653466665960
BANK-42-000108,2026-08-10,UPI/281814375094/Sundaram Logistics Pvt Ltd/Yes Bank/CREDIT,227605.94,Yes Bank,UTR440896149751
BANK-42-000109,2026-09-05,UPI/CR/206148690029/BigBasket Supermarket Pvt Ltd/HDFC,167504.11,HDFC,UTR657797259921
BANK-42-000110,2026-08-09,UPI/CR/167546471639/Sundaram Logistics Pvt Ltd/HDFC,395613.03,HDFC,UTR623714511406
BANK-42-000111,2026-08-17,UPI/458960933114/Sundaram Logistics Pvt Ltd/IDFC First/CREDIT,367667.66,IDFC First,UTR208483875305
BANK-42-000112,2026-08-20,UPI/CR/475021445574/Nykaa E-Retail Pvt Ltd/Yes Bank,498400.93,Yes Bank,UTR588926711658
BANK-42-000113,2026-08-17,UPI/634754808519/Infosys BPM Ltd/IDFC First/CREDIT,111671.65,IDFC First,UTR843900372783
BANK-42-000114,2026-08-04,UPI/574901281723/BigBasket Supermarket Pvt Ltd/Yes Bank/CREDIT,411356.38,Yes Bank,UTR115234377355
BANK-42-000115,2026-07-30,UPI/CR/736334343460/Tata Consultancy Services/Kotak,299678.34,Kotak,UTR236684072217
BANK-42-000116,2026-08-18,NEFT CR:UTR503432797584/Infosys BPM Ltd,344225.72,Yes Bank,UTR503432797584
BANK-42-000117,2026-05-12,UPI/CR/766852852097/Urban Company/IDFC First,167239.4,IDFC First,UTR275156367819
BANK-42-000118,2026-06-26,UPI/CR/019377796472/Ola Fleet Technologies/SBI,199673.7,SBI,UTR993673577458
BANK-42-000119,2025-04-23,NEFT/330001794715/Freshworks Inc/IDFC First,21423.37,IDFC First,
BANK-42-000120,2025-04-24,NEFT CR:023553239065/Sundaram Logistics Pvt Ltd,11027.73,IDFC First,
BANK-42-000121,2025-12-20,UPI/CR/039578203876/Cred Avenue Pvt Ltd/HDFC,6364.87,HDFC,
BANK-42-000122,2026-01-23,UPI-Cred Avenue Pvt Ltd-206324082379@HDFC-CREDIT,2014.86,HDFC,
BANK-42-000123,2025-02-26,UPI/952033207696/Cred Avenue Pvt Ltd/Axis/CREDIT,8005.16,Axis,
BANK-42-000124,2025-08-26,UPI/CR/758432407085/Swiggy Bundl Technologies/Axis,5678.53,Axis,
BANK-42-000125,2025-06-20,RTGS-124842019117-Tata Consultancy Services-IDFC First,14118.43,IDFC First,
BANK-42-000126,2026-02-01,UPI/709813404004/Nykaa E-Retail Pvt Ltd/Axis/CREDIT,29344.64,Axis,
BANK-42-000127,2026-07-30,NEFT CR:809478692118/Zomato Ltd,6639.46,ICICI,
BANK-42-000128,2025-11-09,NEFT CR:773086693626/Tata Consultancy Services,1505.04,HDFC,
BANK-42-000129,2025-06-27,UPI/634084844348/Meesho Inc/HDFC/CREDIT,55237.8,HDFC,
BANK-42-000130,2025-03-03,UPI/CR/625951192192/Freshworks Inc/HDFC,1248.84,HDFC,
BANK-42-000131,2026-07-02,UPI/CR/245556217118/Swiggy Bundl Technologies/HDFC,500.0,HDFC,
BANK-42-000132,2026-03-23,UPI/CR/807739669124/Meesho Inc/ICICI,5373.07,ICICI,
BANK-42-000133,2026-08-22,NEFT CR:433193586593/Razorpay Software Pvt Ltd,7326.88,HDFC,
BANK-42-000134,2026-01-05,UPI/893101132300/Nykaa E-Retail Pvt Ltd/Yes Bank/CREDIT,22393.26,Yes Bank,
BANK-42-000135,2025-01-21,UPI/CR/378105727397/Razorpay Software Pvt Ltd/Yes Bank,13002.13,Yes Bank,
BANK-42-000136,2026-05-30,UPI/940891452405/Cred Avenue Pvt Ltd/ICICI/CREDIT,3529.01,ICICI,
BANK-42-000137,2025-12-10,NEFT/735171767441/Meesho Inc/Kotak,4366.03,Kotak,
BANK-42-000138,2025-02-23,UPI/452108119051/Rahul Sharma/Kotak/CREDIT,5303.88,Kotak,
BANK-42-000139,2025-05-11,UPI/310860207023/Swiggy Bundl Technologies/IDFC First/CREDIT,7836.43,IDFC First,
BANK-42-000140,2026-01-29,UPI-Urban Company-632164844127@Kotak-CREDIT,13156.85,Kotak,
BANK-42-000141,2025-09-17,NEFT CR:052120868628/Freshworks Inc,16186.41,SBI,
BANK-42-000142,2026-01-19,UPI-Tata Consultancy Services-619888481500@HDFC-CREDIT,27347.28,HDFC,
BANK-42-000143,2026-01-19,UPI-Nykaa E-Retail Pvt Ltd-431854703257@Kotak-CREDIT,92347.79,Kotak,
BANK-42-000144,2025-09-30,NEFT CR:745241470095/Tata Consultancy Services,12841.38,IDFC First,
BANK-42-000145,2026-08-01,UPI-BigBasket Supermarket Pvt Ltd-207078934881@IDFC First-CREDIT,4203.48,IDFC First,
BANK-42-000146,2026-06-22,UPI/CR/146517304850/Zomato Ltd/IDFC First,7036.32,IDFC First,
BANK-42-000147,2026-07-06,UPI/284795174845/Tata Consultancy Services/SBI/CREDIT,1675.51,SBI,
BANK-42-000148,2025-08-30,UPI/438668543739/Zomato Ltd/IDFC First/CREDIT,16720.6,IDFC First,
BANK-42-000149,2025-09-23,RTGS-063186065775-Zomato Ltd-IDFC First,7169.92,IDFC First,
BANK-42-000150,2025-09-03,UPI/CR/720795832420/Zomato Ltd/Kotak,28643.94,Kotak,
BANK-42-000151,2025-02-12,UPI/640316840261/Lenskart Solutions Pvt Ltd/Yes Bank/CREDIT,5787.98,Yes Bank,
BANK-42-000152,2025-10-08,UPI-Tata Consultancy Services-480692218587@ICICI-CREDIT,5093.45,ICICI,
BANK-42-000153,2025-03-14,RTGS-388571853140-Zomato Ltd-HDFC,21001.29,HDFC,
